2025-07-08 15:49:12 INFO:Scan avviata su 127.0.0.1 da porta 20 a 1024, UDP: True
2025-07-08 15:49:12 INFO:Porte aperte trovate: [{'port': 135, 'protocol': 'TCP'}, {'port': 445, 'protocol': 'TCP'}]
2025-07-08 15:49:46 INFO:Scan avviata su 127.0.0.1 da porta 20 a 1024, UDP: True
2025-07-08 15:49:46 INFO:Porte aperte trovate: [{'port': 135, 'protocol': 'TCP'}, {'port': 445, 'protocol': 'TCP'}]
2025-07-08 17:18:36,524 - INFO - TCP port 135 is open
2025-07-08 17:18:44,613 - INFO - TCP port 445 is open
2025-07-08 17:18:59,754 - ERROR - Error scanning UDP port 21: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,754 - ERROR - Error scanning UDP port 22: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,754 - ERROR - Error scanning UDP port 20: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,754 - ERROR - Error scanning UDP port 23: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,755 - ERROR - Error scanning UDP port 24: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,755 - ERROR - Error scanning UDP port 25: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,755 - ERROR - Error scanning UDP port 27: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,755 - ERROR - Error scanning UDP port 26: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,756 - ERROR - Error scanning UDP port 28: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,756 - ERROR - Error scanning UDP port 29: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,756 - ERROR - Error scanning UDP port 30: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,756 - ERROR - Error scanning UDP port 31: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,756 - ERROR - Error scanning UDP port 32: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,756 - ERROR - Error scanning UDP port 33: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,756 - ERROR - Error scanning UDP port 34: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
2025-07-08 17:18:59,756 - ERROR - Error scanning UDP port 35: [WinError 10054] Connessione in corso interrotta forzatamente dall'host remoto
